Name,Price,Release Date,Publisher,Developer,PerPosRev30,TNR30,PerPosRevAT,TNRAT,Genre,Storage,Mac,Windows,SteamLinux,MacWindow,MacSteam,WindowSteam,All,AvgNRAT,AvgNR30,AvgPrice
Back 4 Blood,29.99,10/12/2021,"Warner Bros. Games, Warner Bros. Interactive Entertainment,","Turtle Rock Studios,",0,0,80,6822,Zombies,40,0,1,0,0,0,0,0,25623.46429,359.8928571,89.56321429
New World,39.99,9/28/2021,"Amazon Games,","Amazon Games,",0,0,74,120254,Massively,50,0,1,0,0,0,0,0,16539.88889,31.44444444,26.54555556
Halo: The Master Chief Collection,39.99,12/3/2019,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1.719557196,0.070110701,30.50527675
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,59.99,10/15/2021,"SEGA,","CyberConnect2,",0,0,89,1793,Action,25,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
The Jackbox Party Pack 8,29.99,10/13/2021,"Jackbox Games, Inc.,","Jackbox Games, Inc.,",0,0,91,124,Party,3,1,1,1,1,1,1,1,51168.28571,1051.285714,28.56142857
The Riftbreaker,29.99,10/14/2021,"EXOR Studios, Surefire.Games,","EXOR Studios,",0,0,91,2192,Base,8,0,1,0,0,0,0,0,12061.4,333.9,29.586
Ori and the Will of the Wisps,29.99,3/11/2020,"Xbox Game Studios,","Moon Studios GmbH,",96,717,96,67034,Beautiful,20,0,1,0,0,0,0,0,33522.5,358.5,29.99
Disco Elysium - The Final Cut,39.99,10/15/2019,"ZA/UM,","ZA/UM,",92,1278,94,38898,RPG,20,1,1,0,1,0,0,0,4388.014535,70.58139535,41.3109593
Phasmophobia,29.99,9/18/2020,"Kinetic Games,","Kinetic Games,",97,10969,97,274508,Horror,16,0,1,0,0,0,0,0,9720.064,250.024,25.10824
Madden NFL 22,59.99,8/20/2021,"Electronic Arts,","Tiburon,",56,502,44,1154,Sports,50,0,1,0,0,0,0,0,2365.833333,70.66666667,42.68636364
Baldur's Gate 3,59.99,10/6/2020,"Larian Studios,","Larian Studios,",86,1016,88,40436,Early,0.15,1,1,0,1,0,0,0,2148.634615,61.64423077,23.27759615
Fallout 4: Game of the Year Edition,39.99,11/10/2015,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1.719557196,0.070110701,30.50527675
Rust,29.99,2/8/2018,"Facepunch Studios,","Facepunch Studios,",89,9816,87,547480,Survival,20,1,1,0,1,0,0,0,59503.38889,847.0740741,34.16833333
It Takes Two,39.99,3/26/2021,"Electronic Arts,","Hazelight,",96,1766,95,40528,Co-op,50,0,1,0,0,0,0,0,45804.89474,587,34.93526316
Noita,19.99,10/15/2020,"Nolla Games,","Nolla Games,",94,711,95,33534,Difficult,1.6,0,1,0,0,0,0,0,43810,1108.833333,13.49
Borderlands 3: Super Deluxe Edition,79.99,3/13/2020,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1.719557196,0.070110701,30.50527675
Forza Horizon 5,59.99,11/9/2021,"Xbox Game Studios,","Playground Games,",0,0,0,0,Racing,0.11,0,1,0,0,0,0,0,4392.66055,184.4678899,30.58091743
Sid Meier’s Civilization® VI,59.99,10/21/2016,"2K, Aspyr (Mac), Aspyr (Linux),","Firaxis Games, Aspyr (Mac), Aspyr (Linux),",87,3361,82,129817,Strategy,12,1,1,1,1,1,1,1,4109.025381,81.53553299,41.05142132
Battlefield V,49.99,11/9/2018,"Electronic Arts,","DICE,",73,11421,69,61817,FPS,50,0,1,0,0,0,0,0,25383.08537,530.8170732,72.07170732
FIFA 22,59.99,10/1/2021,"Electronic Arts,","EA Canada,",0,0,81,5550,Soccer,50,0,1,0,0,0,0,0,5550,0,59.99
Red Dead Redemption 2,19.99,12/5/2019,"Rockstar Games,","Rockstar Games,",93,5332,86,187502,Open,0.15,0,1,0,0,0,0,0,52041.20455,856.2045455,31.81897727
Stardew Valley,14.99,2/26/2016,"ConcernedApe,","ConcernedApe,",98,5894,97,334338,Farming,0.5,1,1,1,1,1,1,1,38917.66667,665,22.76777778
Slay the Spire,24.99,1/23/2019,"Mega Crit Games,","Mega Crit Games,",97,1014,97,83885,Roguelike,1,1,1,1,1,1,1,1,6308.1,88.43333333,20.75666667
Battlefield 4™,39.99,10/29/2013,"Electronic Arts,","DICE,",85,3167,86,25966,Multiplayer,30,0,1,0,0,0,0,0,24488.5814,437.1395349,52.09069767
The Outer Worlds,59.99,10/23/2020,"Private Division,","Obsidian Entertainment,",85,405,85,13206,Action,40,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
Valheim,29.99,2/2/2021,"Coffee Stain Publishing,","Iron Gate AB,",91,8294,95,239623,Open,1,0,1,1,0,0,1,0,52041.20455,856.2045455,31.81897727
Poppy Playtime,29.99,10/12/2021,"MOB Games,","MOB Games,",0,0,94,443,Horror,10,0,1,0,0,0,0,0,9720.064,250.024,25.10824
Bloons TD 6,9.99,12/17/2018,"Ninja Kiwi,","Ninja Kiwi,",97,7277,97,113119,Strategy,2.048,1,1,0,1,0,0,0,4109.025381,81.53553299,41.05142132
Battlefield 1 ™,39.99,10/20/2016,"Electronic Arts,","DICE,",84,4708,84,45244,FPS,50,0,1,0,0,0,0,0,25383.08537,530.8170732,72.07170732
Dead by Daylight,29.99,6/14/2016,"Behaviour Interactive Inc.,","Behaviour Interactive Inc.,",80,8732,82,381406,Horror,50,0,1,0,0,0,0,0,9720.064,250.024,25.10824
For The King,19.99,4/19/2018,"Curve Digital,","IronOak Games,",88,336,88,16049,Open,3,1,1,1,1,1,1,1,52041.20455,856.2045455,31.81897727
NBA 2K22,54.99,9/10/2021,"2K,","Visual Concepts,",0,0,46,4968,Sports,0.11,0,1,0,0,0,0,0,2365.833333,70.66666667,42.68636364
Destiny 2: Legendary Edition,79.99,11/10/2020,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1.719557196,0.070110701,30.50527675
BeamNG.drive,24.99,5/29/2015,"BeamNG,","BeamNG,",97,3223,96,83667,Simulation,25,0,1,0,0,0,0,0,2702.746479,57.28450704,36.66304225
Timberborn,14.99,9/15/2021,"Mechanistry,","Mechanistry,",0,0,95,4436,Early,3,1,1,0,1,0,0,0,2148.634615,61.64423077,23.27759615
Terraria,29.99,5/16/2011,"Re-Logic,","Re-Logic,",97,12085,98,647786,Open,0,1,1,1,1,1,1,1,52041.20455,856.2045455,31.81897727
The Elder Scrolls V: Skyrim Special Edition,79.98,10/27/2016,"Bethesda Softworks,","Bethesda Game Studios,",96,1906,94,81061,Open,12,0,1,0,0,0,0,0,52041.20455,856.2045455,31.81897727
Hell Let Loose,19.99,7/27/2021,"Team17,","Black Matter Pty Ltd,",85,1735,85,33841,Action,30,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
Insurgency: Sandstorm,49.99,12/12/2018,"Focus Home Interactive,","New World Interactive,",89,1400,86,62570,FPS,40,0,1,0,0,0,0,0,25383.08537,530.8170732,72.07170732
Sea of Thieves,59.99,6/3/2020,"Xbox Game Studios,","Rare Ltd,",90,5445,90,143497,Adventure,50,0,1,0,0,0,0,0,1660.002024,30.6437247,53.61291498
Ori and the Blind Forest: Definitive Edition,34.98,4/27/2016,"Xbox Game Studios,","Moon Studios GmbH,",92,411,95,42401,Atmospheric,11,0,1,0,0,0,0,0,9652.3125,98.0625,31.911875
Age of Darkness: Final Stand,29.99,10/7/2021,"Team17 ,","PlaySide,",0,0,89,1113,RTS,5,0,1,0,0,0,0,0,2255.9,37.2,30.49
Batman: Arkham Collection,59.99,11/28/2018,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1.719557196,0.070110701,30.50527675
MONSTER HUNTER RISE,39.99,1/12/2022,"CAPCOM Co., Ltd.,","CAPCOM Co., Ltd.,",0,0,0,0,Action,23,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
Age of Empires IV,39.99,10/28/2021,"Xbox Game Studios,","Relic Entertainment, World's Edge,",0,0,0,0,Strategy,50,0,1,0,0,0,0,0,4109.025381,81.53553299,41.05142132
Inscryption,19.99,10/19/2021,"Devolver Digital,","Daniel Mullins Games,",0,0,0,0,Card,2,0,1,0,0,0,0,0,3272.055556,48.61111111,20.435
Satisfactory,29.99,6/8/2020,"Coffee Stain Publishing,","Coffee Stain Studios,",97,2362,97,61421,Base,15,0,1,0,0,0,0,0,12061.4,333.9,29.586
Borderlands 3,59.99,3/13/2020,"2K,","Gearbox Software,",86,816,83,67201,RPG,75,0,1,0,0,0,0,0,4388.014535,70.58139535,41.3109593
Nickelodeon All-Star Brawl,49.99,10/5/2021,"GameMill Entertainment,","Ludosity, Fair Play Labs,",0,0,84,2959,Multiplayer,15,0,1,0,0,0,0,0,24488.5814,437.1395349,52.09069767
The Forest,29.99,4/30/2018,"Endnight Games Ltd,","Endnight Games Ltd,",96,3619,94,259722,Open,5,0,1,0,0,0,0,0,52041.20455,856.2045455,31.81897727
Raft,29.99,5/23/2018,"Axolot Games,","Redbeet Interactive,",94,2640,92,118074,Survival,6,0,1,0,0,0,0,0,59503.38889,847.0740741,34.16833333
Call of Duty®: Black Ops III,960.47,11/6/2015,"Activision, Aspyr (Mac),","Treyarch, Aspyr (Mac),",91,1569,81,52533,Multiplayer,100,1,1,0,1,0,0,0,24488.5814,437.1395349,52.09069767
RAILROADS Online!,34.99,10/1/2021,"Stefan Kelnberger,","Stefan Kelnberger,",0,0,76,276,Early,6,0,1,0,0,0,0,0,2148.634615,61.64423077,23.27759615
Legion TD 2 - Multiplayer Tower Defense,19.99,10/1/2021,"AutoAttack Games,","AutoAttack Games,",87,1136,81,4265,Tower,2,0,1,0,0,0,0,0,5299.307692,139.2692308,25.49
Tales of Arise,59.99,9/9/2021,"BANDAI NAMCO Entertainment,","BANDAI NAMCO Studios Inc.,",0,0,91,10697,Anime,45,0,1,0,0,0,0,0,6264.93617,146.4468085,31.94744681
Cyberpunk 2N/A77,19.99,12/9/2020,"CD PROJEKT RED,","CD PROJEKT RED,",73,3241,76,385217,Cyberpunk,70,0,1,0,0,0,0,0,28418.22222,250.3333333,23.49055556
Fallout 76,39.99,4/14/2020,"Bethesda Softworks,","Bethesda Game Studios,",68,845,76,28378,Dark,80,0,1,0,0,0,0,0,8014.666667,211.6666667,31.65666667
Operation: Tango,19.99,6/1/2021,"Clever Plays,","Clever Plays,",92,155,89,2070,Online,3,0,1,0,0,0,0,0,1368.375,47,32.36125
Pathfinder: Wrath of the Righteous,39.99,9/2/2021,"META Publishing, Owlcat Games,","Owlcat Games,",80,3058,80,8634,CRPG,50,1,1,0,1,0,0,0,1140.090909,278.9090909,21.80818182
Teardown,19.99,10/29/2020,"Tuxedo Labs,","Tuxedo Labs,",95,1375,95,23684,Destruction,2,0,1,0,0,0,0,0,8628,466.3333333,26.65666667
Gas Station Simulator,36.98,9/15/2021,"Movie Games S.A., HeartBeat Games,","DRAGO entertainment,",0,0,84,5860,Simulation,10,0,1,0,0,0,0,0,2702.746479,57.28450704,36.66304225
RimWorld,29.99,10/17/2018,"Ludeon Studios,","Ludeon Studios,",97,1761,98,96110,Colony,1,1,1,1,1,1,1,1,9991,157.4,32.238
DEATHLOOP,39.99,9/14/2021,"Bethesda Softworks,","Arkane Studios,",0,0,76,8423,FPS,30,0,1,0,0,0,0,0,25383.08537,530.8170732,72.07170732
Subnautica,29.99,1/23/2018,"Unknown Worlds Entertainment,","Unknown Worlds Entertainment,",96,2148,96,161506,Open,20,1,1,0,1,0,0,0,52041.20455,856.2045455,31.81897727
Despot's Game: Dystopian Army Builder,14.99,10/14/2021,"tinyBuild,","Konfa Games,",0,0,95,222,Early,1,1,1,1,1,1,1,1,2148.634615,61.64423077,23.27759615
Fallout New Vegas Ultimate,19.99,2/7/2012,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1.719557196,0.070110701,30.50527675
Tom Clancy's Rainbow Six® Siege,19.99,12/1/2015,"Ubisoft,","Ubisoft Montreal,",84,10771,88,826248,FPS,61,0,1,0,0,0,0,0,25383.08537,530.8170732,72.07170732
DayZ,39.99,12/13/2018,"Bohemia Interactive,","Bohemia Interactive,",87,2325,69,231649,Survival,16,0,1,0,0,0,0,0,59503.38889,847.0740741,34.16833333
Deep Rock Galactic,59.99,5/13/2020,"Coffee Stain Publishing,","Ghost Ship Games,",96,1516,97,79025,Looter,3,0,1,0,0,0,0,0,51640.5,835.5,49.99
Torchlight III,39.99,10/13/2020,"Perfect World Entertainment,","Echtra Inc.,",50,151,48,8374,RPG,10,0,1,0,0,0,0,0,4388.014535,70.58139535,41.3109593
Garry's Mod,19.99,11/29/2006,"Valve,","Facepunch Studios,",97,8991,96,634280,Sandbox,5,1,1,1,1,1,1,1,69204.58333,1379.416667,23.99083333
People Playground,9.99,7/23/2019,"Studio Minus,","mestiez,",98,3952,98,62920,Sandbox,0.35,0,1,0,0,0,0,0,69204.58333,1379.416667,23.99083333
Factorio,29.99,8/14/2020,"Wube Software LTD.,","Wube Software LTD.,",98,2111,98,101727,Automation,3,1,1,1,1,1,1,1,26011,534.25,23.74
Risk of Rain 2,19.99,8/11/2020,"Gearbox Publishing,","Hopoo Games,",97,1415,96,111047,Third-Person,4,0,1,0,0,0,0,0,23202.2,328.8,24.99
ARK: Survival Evolved,29.99,8/27/2017,"Studio Wildcard,","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC,",90,4506,81,373668,Open,60,1,1,1,1,1,1,1,52041.20455,856.2045455,31.81897727
Wallpaper Engine,34.99,11/1/2018,"Wallpaper Engine Team,","Wallpaper Engine Team,",97,12999,97,383828,Mature,0.512,0,1,0,0,0,0,0,129583.6667,4350,23.99
Gloomhaven,19.99,7/17/2019,"Asmodee Digital,","Flaming Fowl Studios,",93,193,88,4566,Tabletop,7,0,1,0,0,0,0,0,4422.625,82.5,19.86
Planet Coaster,44.99,11/17/2016,"Frontier Developments, Aspyr (Mac),","Frontier Developments, Aspyr (Mac),",95,400,90,40965,Simulation,8,1,1,0,1,0,0,0,2702.746479,57.28450704,36.66304225
Tabletop Simulator,12.99,6/5/2015,"Berserk Games,","Berserk Games,",97,367,96,28652,Tabletop,3,1,1,1,1,1,1,1,4422.625,82.5,19.86
Book of Travels,29.99,10/11/2021,"Might and Delight,","Might and Delight,",0,0,76,355,Early,6,1,1,1,1,1,1,1,2148.634615,61.64423077,23.27759615
Beat Saber,29.99,5/21/2019,"Beat Games,","Beat Games,",92,757,96,51216,VR,0.2,0,1,0,0,0,0,0,3732.898305,67.79661017,29.26067797
Dying Light Enhanced Edition,29.99,4/21/2016,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1.719557196,0.070110701,30.50527675
Farming Simulator 22,89.98,11/22/2021,"Giants Software,","Giants Software,",0,0,0,0,Co-op,35,1,1,0,1,0,0,0,45804.89474,587,34.93526316
Car Mechanic Simulator 2N/A21,41.98,8/11/2021,"PlayWay S.A.,","Red Dot Games,",96,1212,95,7253,Simulation,35,0,1,0,0,0,0,0,2702.746479,57.28450704,36.66304225
Foxhole,49.99,7/27/2017,"Siege Camp,","Siege Camp,",90,1387,83,17181,Early,2,0,1,0,0,0,0,0,2148.634615,61.64423077,23.27759615
BONEWORKS,19.99,12/10/2019,"Stress Level Zero,","Stress Level Zero,",92,482,91,22310,VR,20,0,1,0,0,0,0,0,3732.898305,67.79661017,29.26067797
Squad,49.99,9/23/2020,"Offworld Industries,","Offworld Industries,",92,1102,90,66911,Military,55,0,1,0,0,0,0,0,33463,551,30.99
Assassin's Creed® Odyssey,59.99,10/5/2018,"Ubisoft,","Ubisoft Quebec, Ubisoft Montreal, Ubisoft Bucharest, Ubisoft Singapore, Ubisoft Montpellier, Ubisoft Kiev, Ubisoft Shanghai,",90,1467,89,95874,Open,#VALUE!,0,1,0,0,0,0,0,52041.20455,856.2045455,31.81897727
Sekiro™: Shadows Die Twice - GOTY Edition,59.99,3/21/2019,"Activision (Excluding Japan and Asia), FromSoftware (Japan), 方块游戏 (Asia),","FromSoftware,",95,1863,94,107617,Souls-like,25,0,1,0,0,0,0,0,30280.0625,456.875,35.1775
Half-Life: Alyx,39.99,3/23/2020,"Valve,","Valve,",97,988,98,52903,VR,0,0,1,0,0,0,0,0,3732.898305,67.79661017,29.26067797
7 Days to Die,29.99,12/13/2013,"The Fun Pimps Entertainment LLC,","The Fun Pimps,",91,1851,87,129003,Early,12,1,1,1,1,1,1,1,2148.634615,61.64423077,23.27759615
Grounded,29.99,7/28/2020,"Xbox Game Studios,","Obsidian Entertainment,",86,530,88,18856,Survival,8,0,1,0,0,0,0,0,59503.38889,847.0740741,34.16833333
World War Z: Aftermath,29.99,9/21/2021,"Saber Interactive Inc,","Saber Interactive Inc,",0,0,77,2018,Action,50,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
Injustice 2 Legendary Edition,59.99,3/27/2018,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1.719557196,0.070110701,30.50527675
Battlefield™ 2N/A42,49.99,11/19/2021,"Electronic Arts,","DICE,",0,0,0,0,Shooter,100,0,1,0,0,0,0,0,14088.75,131.875,36.24
PowerWash Simulator,44.99,5/19/2021,"Square Enix,","FuturLab,",98,913,97,9146,Simulation,6,0,1,0,0,0,0,0,2702.746479,57.28450704,36.66304225
Into the Breach,14.99,2/27/2018,"Subset Games,","Subset Games,",96,121,94,10811,Strategy,0.4,1,1,1,1,1,1,1,4109.025381,81.53553299,41.05142132
Totally Accurate Battle Simulator,44.99,4/1/2021,"Landfall,","Landfall,",97,1597,98,66759,Sandbox,4,1,1,0,1,0,0,0,69204.58333,1379.416667,23.99083333
Left 4 Dead 2,29.99,11/17/2009,"Valve,","Valve,",97,7602,97,384743,Zombies,13,1,1,1,1,1,1,1,25623.46429,359.8928571,89.56321429
HOT WHEELS UNLEASHED™,59.99,9/30/2021,"Milestone S.r.l.,","Milestone S.r.l.,",0,0,83,1050,Racing,22,0,1,0,0,0,0,0,4392.66055,184.4678899,30.58091743
Growing Up,14.99,10/14/2021,"Vile Monarch,","Vile Monarch,",0,0,82,343,Choices,2,1,1,0,1,0,0,0,4086.222222,200.2777778,36.98666667
FINAL FANTASY XIV Online,19.99,2/18/2014,"Square Enix,","Square Enix,",92,1591,88,41421,MMORPG,60,0,1,0,0,0,0,0,26927,768.6666667,23.32333333
Mass Effect™ Legendary Edition,19.99,5/14/2021,"Electronic Arts,","BioWare,",93,865,92,17558,RPG,0.12,0,1,0,0,0,0,0,4388.014535,70.58139535,41.3109593
DEVOUR,4.99,1/28/2021,"Straight Back Games,","Straight Back Games,",93,3195,90,15369,Horror,5,1,1,0,1,0,0,0,9720.064,250.024,25.10824
Monster Train,24.99,5/21/2020,"Good Shepherd Entertainment,","Shiny Shoe,",98,202,96,12650,Card,2,0,1,0,0,0,0,0,3272.055556,48.61111111,20.435
CS:GO Prime Status Upgrade,14.99,8/21/2012,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1.719557196,0.070110701,30.50527675
Forza Horizon 4,59.99,3/9/2021,"Xbox Game Studios,","Playground Games,",91,5873,84,67504,Racing,80,0,1,0,0,0,0,0,4392.66055,184.4678899,30.58091743
Pavlov VR,39.99,2/27/2017,"Vankrupt Games,","Vankrupt Games,",93,686,94,24503,Early,30,0,1,0,0,0,0,0,2148.634615,61.64423077,23.27759615
Blade and Sorcery,19.99,12/11/2018,"WarpFrog,","WarpFrog,",97,606,95,21424,VR,0,0,1,0,0,0,0,0,3732.898305,67.79661017,29.26067797
Fallout 3: Game of the Year Edition,19.99,10/13/2009,"Bethesda Softworks,","Bethesda Game Studios,",73,509,77,25615,Open,0,0,1,0,0,0,0,0,52041.20455,856.2045455,31.81897727
BIGFOOT,29.99,1/31/2017,"CyberLight Game Studio,","CyberLight Game Studio,",85,302,77,7552,Early,3,0,1,0,0,0,0,0,2148.634615,61.64423077,23.27759615
Divinity: Original Sin 2 - Definitive Edition,39.99,9/14/2017,"Larian Studios,","Larian Studios,",94,1502,95,114135,Tactical,60,1,1,0,1,0,0,0,10045.66667,205.7777778,23.43166667
The Sims™ 4,44.99,9/2/2014,"Electronic Arts,","Maxis,",92,1510,90,28652,Life,17,0,1,0,0,0,0,0,5944.1,192.2,30.29
DARK SOULS™: REMASTERED,39.99,5/23/2018,"FromSoftware, Inc, BANDAI NAMCO Entertainment,","QLOC,",91,645,86,31243,Souls-like,8,0,1,0,0,0,0,0,30280.0625,456.875,35.1775
Dying Light Platinum Edition,49.99,9/21/2021,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1.719557196,0.070110701,30.50527675
Hunt: Showdown,74.94,8/27/2019,"Crytek,","Crytek,",85,2158,83,81009,Multiplayer,20,0,1,0,0,0,0,0,24488.5814,437.1395349,52.09069767
Fall Guys: Ultimate Knockout,19.99,8/4/2020,N/A,"Mediatonic,",86,7081,83,347501,Party,2,0,1,0,0,0,0,0,51168.28571,1051.285714,28.56142857
Zero Hour,39.99,8/12/2020,"Attrito, M7 Productions,","M7 Productions, Attrito,",85,1423,84,13879,Tactical,10,0,1,0,0,0,0,0,10045.66667,205.7777778,23.43166667
Lawn Mowing Simulator,29.99,8/10/2021,"Curve Digital,","Skyhook Games,",75,84,77,747,Simulation,20,0,1,0,0,0,0,0,2702.746479,57.28450704,36.66304225
FOREWARNED,29.99,9/10/2021,"Dreambyte Games,","Dreambyte Games,",0,0,90,955,Early,10,0,1,0,0,0,0,0,2148.634615,61.64423077,23.27759615
PUBG: BATTLEGROUNDS,39.99,12/21/2017,"KRAFTON, Inc.,","KRAFTON, Inc.,",62,16196,53,1522443,Survival,40,0,1,0,0,0,0,0,59503.38889,847.0740741,34.16833333
Phoenix Wright: Ace Attorney Trilogy,29.99,4/9/2019,"CAPCOM Co., Ltd.,","CAPCOM Co., Ltd.,",96,225,97,10122,Detective,1.8,0,1,0,0,0,0,0,7035.75,104.9166667,35.73583333
Jurassic World Evolution 2,29.99,11/9/2021,"Frontier Developments,","Frontier Developments,",0,0,0,0,Simulation,14,0,1,0,0,0,0,0,2702.746479,57.28450704,36.66304225
The Jackbox Party Pack 7,29.99,10/15/2020,"Jackbox Games, Inc.,","Jackbox Games, Inc.,",93,60,97,2201,Party,3,1,1,1,1,1,1,1,51168.28571,1051.285714,28.56142857
Hades,19.99,9/17/2020,"Supergiant Games,","Supergiant Games,",98,2509,98,148789,Action,15,1,1,0,1,0,0,0,3264.582596,57.48230088,45.25634218
Microsoft Flight Simulator,59.99,8/17/2020,"Xbox Game Studios,","Asobo Studio,",74,826,75,28591,Simulation,0.15,0,1,0,0,0,0,0,2702.746479,57.28450704,36.66304225
F1® 2N/A21,59.99,7/15/2021,"Electronic Arts,","Codemasters,",81,1370,84,8359,Racing,80,0,1,0,0,0,0,0,4392.66055,184.4678899,30.58091743
Spelunky 2,19.99,9/29/2020,"Mossmouth,","Mossmouth, BlitWorks,",94,318,93,11590,Platformer,0.6,0,1,0,0,0,0,0,8418.444444,98.52777778,25.71722222
Golf With Your Friends,19.99,5/19/2020,"Team17,","Blacklight Interactive,",87,400,90,29821,Multiplayer,4,1,1,1,1,1,1,1,24488.5814,437.1395349,52.09069767
They Are Billions,29.99,6/18/2019,"Numantian Games,","Numantian Games,",83,436,85,31918,Base,4,0,1,0,0,0,0,0,12061.4,333.9,29.586
Life is Strange: True Colors,59.99,9/9/2021,"Square Enix,","Deck Nine,",0,0,90,4369,Choices,30,0,1,0,0,0,0,0,4086.222222,200.2777778,36.98666667
Potion Craft: Alchemist Simulator,14.99,9/21/2021,"tinyBuild,","niceplay games,",0,0,93,3731,Early,5,0,1,0,0,0,0,0,2148.634615,61.64423077,23.27759615
Travellers Rest,14.99,7/28/2020,"Isolated Games,","Isolated Games,",93,78,92,1531,Life,0.5,0,1,0,0,0,0,0,5944.1,192.2,30.29
Wildermyth,24.99,6/15/2021,"Worldwalker Games LLC, WhisperGames,","Worldwalker Games LLC,",95,333,95,7727,Party-Based,2,1,1,1,1,1,1,1,2126.5,91.25,22.49
Horizon Zero Dawn™ Complete Edition,19.99,8/7/2020,"PlayStation Mobile, Inc.,","Guerrilla,",91,1371,83,45020,Open,100,0,1,0,0,0,0,0,52041.20455,856.2045455,31.81897727
Minecraft Dungeons,59.99,9/22/2021,"Xbox Game Studios,","Mojang Studios, ‪Double Eleven,",0,0,90,1081,Dungeon,6,0,1,0,0,0,0,0,1663.25,2.75,24.99
Subnautica: Below Zero,59.98,5/14/2021,"Unknown Worlds Entertainment,","Unknown Worlds Entertainment,",85,1108,91,50515,Open,15,1,1,0,1,0,0,0,52041.20455,856.2045455,31.81897727
House Flipper,59.96,5/17/2018,"Frozen District, PlayWay S.A.,","Empyrean,",95,960,92,43648,Design,6,1,1,0,1,0,0,0,3052.117647,66.58823529,35.80764706
Cepheus Protocol,29.99,5/15/2020,"Halcyon Winds,","Halcyon Winds,",84,88,89,719,Early,6,0,1,0,0,0,0,0,2148.634615,61.64423077,23.27759615
Settlement Survival,14.99,10/11/2021,"Gleamer Studio,","Gleamer Studio,",0,0,89,556,City,1,0,1,0,0,0,0,0,10080,151.6071429,109.3332143
Total War: WARHAMMER II,59.99,9/28/2017,"SEGA, Feral Interactive (Mac), Feral Interactive (Linux),","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux),",91,1213,93,70379,Strategy,60,1,1,1,1,1,1,1,4109.025381,81.53553299,41.05142132
Borderlands 2 Game of the Year,39.99,10/8/2013,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1.719557196,0.070110701,30.50527675
Crusader Kings III,229.94,9/1/2020,"Paradox Interactive,","Paradox Development Studio,",89,921,93,41127,Strategy,8,1,1,1,1,1,1,1,4109.025381,81.53553299,41.05142132
Stranded Deep,29.99,1/23/2015,"Beam Team Publishing,","Beam Team Games,",70,511,76,29739,Open,4,1,1,1,1,1,1,1,52041.20455,856.2045455,31.81897727
Medieval Dynasty,29.99,9/23/2021,"Toplitz Productions,","Render Cube,",82,1578,90,17061,Survival,10,0,1,0,0,0,0,0,59503.38889,847.0740741,34.16833333
Webbed,29.99,9/9/2021,"Sbug Games,","Sbug Games,",0,0,97,3282,2D,0.25,0,1,0,0,0,0,0,1275.809524,39.33333333,20.51285714
Psychonauts 2,59.99,8/24/2021,"Xbox Game Studios,","Double Fine Productions,",96,523,97,3368,Story,30,0,1,0,0,0,0,0,10374.79167,185.25,30.82333333
Project Zomboid,29.99,11/8/2013,"The Indie Stone,","The Indie Stone,",89,1511,90,37129,Survival,0,1,1,1,1,1,1,1,59503.38889,847.0740741,34.16833333
MADNESS: Project Nexus,29.99,9/29/2021,"GIBBING TREE, LLC,","GIBBING TREE, LLC,",0,0,96,3999,Action,1,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
PICO PARK,39.99,5/7/2021,"TECOPARK,","TECOPARK,",90,659,91,5475,Casual,100,0,1,0,0,0,0,0,591.1660777,19.47349823,25.58780919
Aliens: Fireteam Elite,39.99,8/24/2021,"Cold Iron Studios, Focus Home Interactive,","Cold Iron Studios,",78,969,84,9299,Aliens,30,0,1,0,0,0,0,0,9299,969,39.99
STAR WARS™ Battlefront™ II,39.99,11/16/2017,"Electronic Arts,","DICE,",87,498,89,22024,Multiplayer,60,0,1,0,0,0,0,0,24488.5814,437.1395349,52.09069767
OMORI,19.99,12/25/2020,"OMOCAT, LLC, PLAYISM,","OMOCAT, LLC,",97,1113,98,23345,Psychological,2,1,1,0,1,0,0,0,5530.75,174.8125,25.2375
No Man's Sky,29.99,8/12/2016,"Hello Games,","Hello Games,",90,2233,70,167635,Open,10,0,1,0,0,0,0,0,52041.20455,856.2045455,31.81897727
